no,feature,idf
785,care-no-dptkan,5.6443908991413725
786,care-no-kunjung,5.6443908991413725
787,care-no-pin,4.458767233483633
788,care-no-pin-dptkan,5.739701078945697
789,care-no-pin-kunjung,5.739701078945697
790,care-no-putus,5.6443908991413725
791,care-no-surat,5.739701078945697
792,care-pilih,5.739701078945697
793,care-pin,4.110460539215417
794,care-pin-pilih,5.845061594603524
795,care-putus,5.6443908991413725
796,care-resmi-selamat-tri,5.403228842324484
797,care-rp-selamat-tri,5.962844630259907
798,care-selamat-dptkan-tri,5.962844630259907
799,care-selamat-no-tri,5.557379522151743
800,care-selamat-tri,5.269697449699962
801,care-selamat-tri-pin,5.269697449699962
802,care-surat,5.739701078945697
803,care-tunai,5.845061594603524
804,care-undi-selamat,5.845061594603524
805,care-undi-selamat-pin,5.845061594603524
806,care-unit,5.3342359708375335
807,care-unit-no,5.845061594603524
808,care-unit-pin,5.3342359708375335
809,care-unit-pin-no,5.845061594603524
810,care-yaris,5.557379522151743
811,care-yaris-pin,5.557379522151743
812,cari,5.962844630259907
813,caringin,7.349138991379798
814,carrier,7.349138991379798
815,cas,7.349138991379798
816,case,7.349138991379798
817,cash,6.943673883271633
818,cashback,7.349138991379798
819,casino,7.349138991379798
820,caturgadget,7.349138991379798
821,cc,6.432848259505643
822,ccfa,7.349138991379798
823,cd,7.349138991379798
824,cdma,7.349138991379798
825,cecer,7.349138991379798
826,cegah,7.349138991379798
827,cek,3.4675751934363603
828,cekbns,7.349138991379798
829,cek-aja,6.09637602288443
830,cek-app,6.250526702711688
831,cek-app-beli,6.250526702711688
832,cek-app-beli-extra,6.250526702711688
833,cek-app-beli-tsel,6.250526702711688
834,cek-app-extra,6.250526702711688
835,cek-app-me,6.250526702711688
